N, Xi, V(xi), V2(x2i), V(xi) - V2(x2i)
0, 0, 1, 1, 0
5, 0.1, 0.5046198847060797, 0.4804473815528547, 0.024172503153224945
10, 0.19999999999999998, 0.3284425417032766, 0.31265429568648384, 0.01578824601679274
15, 0.3, 0.18434452156046974, 0.17347704178228082, 0.010867479778188915
20, 0.4000000000000001, 0.11207252779244661, 0.10360840850397594, 0.00846411928847067
25, 0.5000000000000001, 0.07814179446440143, 0.07116334212658054, 0.006978452337820892
30, 0.6000000000000002, 0.052083809162767114, 0.04655605774801927, 0.005527751414747845
35, 0.7000000000000003, 0.03272160019050646, 0.028611340185449016, 0.004110260005057445
40, 0.8000000000000004, 0.01867244185283231, 0.015950875642053226, 0.0027215662107790833
45, 0.9000000000000005, 0.008356804347389005, 0.007002135938896018, 0.0013546684084929875
50, 1.0000000000000004, 0, 0, 0
