N, Xi, V(xi), V2(x2i), V(xi) - V2(x2i)
0, 0, 0, 0, 0
5, 0.05, 0.7024743566872865, 0.7568379877550058, 0.05436363106771924
10, 0.09999999999999999, 0.7981930293169912, 0.8379331465521171, 0.03974011723512594
15, 0.15, 0.8337026665767675, 0.8648162398220403, 0.031113573245272752
20, 0.20000000000000004, 0.8446623997567743, 0.8696518838561598, 0.024989484099385506
25, 0.25000000000000006, 0.8423302966203466, 0.8625765636202533, 0.020246266999906615
30, 0.3000000000000001, 0.8317609068762254, 0.8481415031251024, 0.016380596248877
35, 0.35000000000000014, 0.8198372533644925, 0.8336035317824437, 0.013766278417951194
40, 0.4000000000000002, 0.8166835298004091, 0.8293220241142907, 0.012638494313881532
45, 0.45000000000000023, 0.8164456683265895, 0.8279689855452561, 0.011523317218666618
50, 0.5000000000000002, 0.8191193238512482, 0.8295403993657471, 0.01042107551449889
55, 0.5500000000000003, 0.8246912300550354, 0.8340230649612013, 0.009331834906165848
60, 0.6000000000000003, 0.8331402726515315, 0.8413956759908429, 0.008255403339311407
65, 0.6500000000000004, 0.8444385443046514, 0.8516298798717812, 0.0071913355671298085
70, 0.7000000000000004, 0.8585523780104936, 0.8646913152221416, 0.006138937211648043
75, 0.7500000000000004, 0.8754433565045066, 0.8805406246729336, 0.005097268168427038
80, 0.8000000000000005, 0.8950692959848754, 0.8991344411900153, 0.004065145205139897
85, 0.8500000000000005, 0.917385203148679, 0.9204263467542391, 0.0030411436055600705
90, 0.9000000000000006, 0.9423442052185199, 0.9443678029288425, 0.0020235977103225666
95, 0.9500000000000006, 0.9698984532944053, 0.9709090534989666, 0.0010106002045613405
100, 1.0000000000000007, 1, 1, 0
